InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
524715,21819,GLITTER CHRISTMAS STAR ,12,9/30/2010 13:08,0.85,13966.0,United Kingdom
526412,90087,CRYSTAL SEA HORSE PHONE CHARM,12,10/11/2010 14:15,0.85,13959.0,United Kingdom
563698,22081,RIBBON REEL FLORA + FAUNA ,2,8/18/2011 13:46,1.65,14667.0,United Kingdom
497402,21618,4 WILDFLOWER BOTANICAL CANDLES,6,2/9/2010 14:17,3.75,16873.0,United Kingdom
564912,23084,RABBIT NIGHT LIGHT,24,8/31/2011 12:33,1.79,12490.0,France
534804,37482P,CUBIC MUG PINK POLKADOT,6,11/24/2010 12:24,2.55,12356.0,Portugal
493308,21883,STARS GIFT TAPE ,12,12/22/2009 16:17,0.65,15064.0,United Kingdom
496518,85007,SET OF 3 VINTAGE TEA TIME BOXES,18,2/2/2010 12:03,1.65,13854.0,United Kingdom
570180,23502,PLAYING CARDS VINTAGE DOILY ,12,10/7/2011 14:28,1.25,17509.0,United Kingdom
521829,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12,9/9/2010 10:44,2.55,17242.0,United Kingdom
573292,23201,JUMBO BAG ALPHABET,10,10/28/2011 15:10,2.08,14416.0,United Kingdom
568242,23263,SET OF 3 WOODEN HEART DECORATIONS,12,9/26/2011 12:11,1.25,14931.0,Channel Islands
576650,23351,ROLL WRAP 50'S CHRISTMAS,24,11/16/2011 10:34,1.25,14286.0,United Kingdom
540364,85232D,SET/3 DECOUPAGE STACKING TINS,1,1/6/2011 16:03,4.95,14505.0,United Kingdom
515533,20973,12 PENCIL SMALL TUBE WOODLAND,2,7/13/2010 12:08,0.65,15719.0,United Kingdom
563557,22621,TRADITIONAL KNITTING NANCY,12,8/17/2011 13:33,1.65,15786.0,United Kingdom
514483,82494L,WOODEN FRAME ANTIQUE WHITE ,12,7/2/2010 14:39,2.55,17850.0,United Kingdom
557888,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,6/23/2011 13:51,2.95,14656.0,United Kingdom
567170,22553,PLASTERS IN TIN SKULLS,1,9/18/2011 12:40,1.65,13566.0,United Kingdom
505511,22469,HEART OF WICKER SMALL,6,4/22/2010 14:34,1.65,13769.0,United Kingdom
543191,22549,PICTURE DOMINOES,3,2/4/2011 11:54,1.45,13137.0,United Kingdom
498567,22270,HAPPY EASTER HANGING DECORATION,3,2/21/2010 12:42,3.75,16693.0,United Kingdom
538067,22119,PEACE WOODEN BLOCK LETTERS,2,12/9/2010 13:59,6.95,15288.0,United Kingdom
536520,22760,"TRAY, BREAKFAST IN BED",1,12/1/2010 12:43,12.75,14729.0,United Kingdom
507750,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,5/11/2010 12:18,1.25,16419.0,United Kingdom
498905,84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,1,2/23/2010 14:40,12.75,12854.0,United Kingdom
489818,22145,CHRISTMAS CRAFT HEART STOCKING ,6,12/2/2009 13:23,2.1,16233.0,United Kingdom
534517,22906,12 MESSAGE CARDS WITH ENVELOPES,11,11/23/2010 12:01,1.65,16229.0,United Kingdom
532578,35597D,PINK/WHITE CHRISTMAS TREE 30CM,4,11/12/2010 14:13,0.65,17984.0,United Kingdom
535382,22348,TEA BAG PLATE RED RETROSPOT,6,11/25/2010 19:24,0.85,17921.0,United Kingdom
497374,21680,WOODLAND  STICKERS,12,2/9/2010 10:49,0.85,12645.0,Germany
490706,21740,COSY SLIPPER SHOES LARGE RED,4,12/7/2009 14:58,2.95,17865.0,United Kingdom
578146,23229,VINTAGE DONKEY TAIL GAME ,2,11/23/2011 11:07,3.75,13742.0,United Kingdom
541206,22554,PLASTERS IN TIN WOODLAND ANIMALS,288,1/14/2011 12:24,1.45,14646.0,Netherlands
506958,20654,FIRST CLASS LUGGAGE TAG ,4,5/5/2010 11:54,1.25,14878.0,United Kingdom
520884,48138,DOORMAT UNION FLAG,1,8/31/2010 16:11,7.95,16919.0,United Kingdom
577300,23355,HOT WATER BOTTLE KEEP CALM,2,11/18/2011 12:53,4.95,16924.0,United Kingdom
543235,85186A,EASTER BUNNY GARLAND OF FLOWERS,6,2/4/2011 13:30,0.42,14462.0,United Kingdom
522030,20969,RED FLORAL FELTCRAFT SHOULDER BAG,2,9/10/2010 12:07,3.75,15580.0,United Kingdom
572751,23470,CARD HOLDER LOVE BIRD LARGE ,2,10/25/2011 17:21,6.25,17449.0,United Kingdom
558875,23106,ZINC HEARTS PLANT POT HOLDER,2,7/4/2011 13:35,2.89,13301.0,United Kingdom
576624,23356,LOVE HOT WATER BOTTLE,24,11/15/2011 17:14,4.95,16156.0,United Kingdom
495546,21918,SET 12 KIDS COLOUR  CHALK STICKS,10,1/25/2010 15:54,0.42,13206.0,United Kingdom
501960,21795,SET OF 3 BLUE STRIPE BASKET,1,3/22/2010 12:10,12.75,14817.0,United Kingdom
564170,82600,NO SINGING METAL SIGN,48,8/23/2011 13:59,1.85,17696.0,United Kingdom
555500,22361,GLASS JAR DAISY FRESH COTTON WOOL,1,6/3/2011 15:32,2.95,15508.0,United Kingdom
575589,22991,GIRAFFE WOODEN RULER,12,11/10/2011 12:05,1.95,14262.0,United Kingdom
489869,22337,ANGEL DECORATION PAINTED ZINC ,2,12/2/2009 15:15,0.65,16200.0,United Kingdom
519005,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,8/12/2010 19:18,1.45,16549.0,United Kingdom
545227,84744,S/6 SEW ON CROCHET FLOWERS,24,3/1/2011 9:35,1.25,12428.0,Finland
529311,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,10/27/2010 13:04,7.95,15807.0,United Kingdom
574683,23207,LUNCH BAG ALPHABET DESIGN,2,11/6/2011 12:50,1.65,16372.0,United Kingdom
537298,22119,PEACE WOODEN BLOCK LETTERS,3,12/6/2010 11:37,6.95,13497.0,United Kingdom
501569,22223,CAKE PLATE LOVEBIRD PINK,12,3/18/2010 8:05,4.25,16336.0,United Kingdom
575656,22952,60 CAKE CASES VINTAGE CHRISTMAS,48,11/10/2011 14:29,0.55,13319.0,United Kingdom
577613,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,11/21/2011 10:02,0.39,14911.0,EIRE
563908,23111,PARISIENNE SEWING BOX,2,8/21/2011 12:21,12.5,18109.0,United Kingdom
510662,21874,GIN AND TONIC MUG,6,6/2/2010 14:48,1.25,17096.0,United Kingdom
532662,22301,COFFEE MUG CAT + BIRD DESIGN,6,11/14/2010 11:30,2.55,16601.0,United Kingdom
557315,82583,HOT BATHS METAL SIGN,1,6/19/2011 16:02,2.1,15535.0,United Kingdom
544338,22697,GREEN REGENCY TEACUP AND SAUCER,6,2/18/2011 8:47,2.95,12852.0,United Kingdom
491126,22186,RED STAR CARD HOLDER,6,12/9/2009 15:36,2.95,16186.0,United Kingdom
568712,22494,EMERGENCY FIRST AID TIN ,1,9/28/2011 15:50,1.25,17841.0,United Kingdom
512696,20751,FUNKY WASHING UP GLOVES ASSORTED,12,6/17/2010 11:57,2.1,14911.0,EIRE
536527,22809,SET OF 6 T-LIGHTS SANTA,6,12/1/2010 13:04,2.95,12662.0,Germany
563037,22891,TEA FOR ONE POLKADOT,3,8/11/2011 15:02,4.25,12362.0,Belgium
560828,22267,EASTER DECORATION EGG BUNNY ,24,7/21/2011 11:55,0.39,14298.0,United Kingdom
541220,22840,ROUND CAKE TIN VINTAGE RED,144,1/14/2011 14:11,6.95,14156.0,EIRE
568060,84978,HANGING HEART JAR T-LIGHT HOLDER,6,9/23/2011 13:11,1.25,14546.0,United Kingdom
516938,21519,GIN & TONIC DIET GREETING CARD ,24,7/25/2010 13:50,0.42,15601.0,United Kingdom
522330,22940,FELTCRAFT CHRISTMAS FAIRY,3,9/13/2010 17:25,4.25,17218.0,United Kingdom
547656,85231B,CINAMMON SET OF 9 T-LIGHTS,1,3/24/2011 12:53,0.85,13263.0,United Kingdom
557958,23291,DOLLY GIRL CHILDRENS CUP,8,6/23/2011 19:27,1.25,16161.0,United Kingdom
536233,22423,REGENCY CAKESTAND 3 TIER,2,11/30/2010 14:15,12.75,15570.0,United Kingdom
537629,21889,WOODEN BOX OF DOMINOES,12,12/7/2010 15:03,1.25,17419.0,United Kingdom
531792,21314,SMALL GLASS HEART TRINKET POT,4,11/9/2010 15:20,2.1,14899.0,United Kingdom
555524,21155,RED RETROSPOT PEG BAG,1,6/5/2011 11:37,2.55,16923.0,United Kingdom
558558,20728,LUNCH BAG CARS BLUE,1,6/30/2011 13:17,1.65,17841.0,United Kingdom
506123,84991,60 TEATIME FAIRY CAKE CASES,24,4/27/2010 14:12,0.55,16197.0,United Kingdom
552959,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,5/12/2011 12:53,6.75,12748.0,United Kingdom
501907,22265,EASTER DECORATION NATURAL CHICK,11,3/21/2010 16:13,0.65,13451.0,United Kingdom
549569,72741,GRAND CHOCOLATECANDLE,9,4/10/2011 15:15,1.45,15547.0,United Kingdom
574862,23084,RABBIT NIGHT LIGHT,48,11/7/2011 12:27,1.79,12408.0,Belgium
553552,21401,BLUE PUDDING SPOON,24,5/17/2011 16:23,0.12,17702.0,United Kingdom
531271,22557,PLASTERS IN TIN VINTAGE PAISLEY ,24,11/7/2010 11:52,1.65,16401.0,United Kingdom
553650,85132A,CHARLIE + LOLA BISCUITS TINS,12,5/18/2011 11:02,1.95,14731.0,United Kingdom
506709,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,2,5/2/2010 15:10,0.42,15426.0,United Kingdom
522327,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,9/13/2010 16:15,3.95,18069.0,United Kingdom
536976,21967,PACK OF 12 SKULL TISSUES,3,12/3/2010 14:18,0.29,14723.0,United Kingdom
497405,20914,SET/5 RED SPOTTY LID GLASS BOWLS,6,2/9/2010 14:28,2.95,14735.0,United Kingdom
559307,22728,ALARM CLOCK BAKELIKE PINK,2,7/7/2011 13:02,3.75,15356.0,United Kingdom
549436,21915,RED  HARMONICA IN BOX ,24,4/8/2011 12:34,1.25,18041.0,United Kingdom
571441,20829,GLITTER HANGING BUTTERFLY STRING,1,10/17/2011 13:31,4.13,14096.0,United Kingdom
530288,22600,CHRISTMAS RETROSPOT STAR WOOD,6,11/2/2010 12:16,0.85,14593.0,United Kingdom
491622,21034,REX CASH+CARRY JUMBO SHOPPER,1,12/11/2009 14:20,0.95,13415.0,United Kingdom
536408,16237,SLEEPING CAT ERASERS,30,12/1/2010 11:41,0.21,14307.0,United Kingdom
532671,22600,CHRISTMAS RETROSPOT STAR WOOD,5,11/14/2010 11:50,0.85,16923.0,United Kingdom
534067,84754,S/15 SILVER GLASS BAUBLES IN BAG,6,11/21/2010 11:30,1.25,16466.0,United Kingdom
571054,85130C,BEADED CRYSTAL HEART BLUE  LARGE,3,10/13/2011 13:58,0.79,14234.0,United Kingdom
533301,84879,ASSORTED COLOUR BIRD ORNAMENT,8,11/16/2010 16:46,1.69,15811.0,United Kingdom
509100,21927,BLUE/CREAM STRIPE CUSHION COVER ,8,5/20/2010 11:49,1.25,17841.0,United Kingdom
573123,23320,GIANT 50'S CHRISTMAS CRACKER,12,10/27/2011 16:23,2.89,13654.0,United Kingdom
503941,21989,PACK OF 20 SKULL PAPER NAPKINS,12,4/8/2010 15:04,0.85,13044.0,United Kingdom
580289,21907,I'M ON HOLIDAY METAL SIGN,12,12/2/2011 13:32,2.1,15856.0,United Kingdom
581467,20668,DISCO BALL CHRISTMAS DECORATION,48,12/8/2011 19:24,0.12,13077.0,United Kingdom
520727,72129,COLUMBIAN CANDLE ROUND ,6,8/29/2010 15:45,0.65,16755.0,United Kingdom
579062,20725,LUNCH BAG RED RETROSPOT,10,11/28/2011 10:29,1.65,17651.0,United Kingdom
529351,20725,LUNCH BAG RED RETROSPOT,10,10/28/2010 9:29,1.65,12766.0,Portugal
575481,23177,TREASURE ISLAND BOOK BOX,2,11/9/2011 16:28,2.25,15679.0,United Kingdom
577778,22212,FOUR HOOK  WHITE LOVEBIRDS,1,11/21/2011 16:10,2.1,16549.0,United Kingdom
578005,84879,ASSORTED COLOUR BIRD ORNAMENT,32,11/22/2011 12:39,1.69,16985.0,United Kingdom
535799,22757,LARGE RED BABUSHKA NOTEBOOK ,1,11/28/2010 14:49,1.25,16720.0,United Kingdom
567186,21034,REX CASH+CARRY JUMBO SHOPPER,2,9/18/2011 16:04,0.95,17073.0,United Kingdom
504466,21790,VINTAGE SNAP CARDS,1,4/13/2010 16:57,0.85,16259.0,United Kingdom
522273,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,1,9/13/2010 12:41,3.75,16470.0,United Kingdom
572552,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,10/24/2011 17:07,10.79,14096.0,United Kingdom
569252,23057,BEADED CHANDELIER T-LIGHT HOLDER,4,10/3/2011 10:38,4.95,14333.0,United Kingdom
500094,M,Manual,3,3/4/2010 12:24,0.1,15005.0,United Kingdom
570288,23293,SET OF 12 FAIRY CAKE BAKING CASES,3,10/10/2011 11:47,0.83,16960.0,United Kingdom
501767,21156,RED SPOTTY CHILDS APRON,2,3/19/2010 11:39,1.95,16335.0,United Kingdom
571286,23323,WHITE WICKER STAR ,2,10/16/2011 14:35,2.1,14547.0,United Kingdom
501907,85204,HANGING WOOD AND FELT FLOWER,12,3/21/2010 16:13,0.42,13451.0,United Kingdom
560807,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,7/21/2011 10:44,2.95,18143.0,United Kingdom
526575,22271,FELTCRAFT DOLL ROSIE,12,10/12/2010 11:48,2.95,16126.0,United Kingdom
572880,23439,HAND WARMER RED LOVE HEART,1,10/26/2011 13:35,2.1,16415.0,United Kingdom
541489,85180A,RED HEARTS LIGHT CHAIN ,12,1/18/2011 13:38,1.25,15023.0,United Kingdom
522093,22227,"DECORATION, HANGING HEART+MIRROR ",11,9/12/2010 13:06,0.65,15406.0,United Kingdom
512458,22606,WOODEN SKITTLES GARDEN SET,2,6/16/2010 9:48,15.95,14634.0,United Kingdom
518010,22469,HEART OF WICKER SMALL,24,8/4/2010 10:00,1.65,14489.0,United Kingdom
567204,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,9/19/2011 10:43,1.25,15365.0,United Kingdom
569481,23319,BOX OF 6 MINI 50'S CRACKERS,6,10/4/2011 12:43,2.49,15255.0,United Kingdom
527375,22436,12 COLOURED PARTY BALLOONS,10,10/17/2010 12:34,0.65,14850.0,United Kingdom
498584,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2/21/2010 15:06,8.5,16200.0,United Kingdom
531382,21432,SET OF 3 CASES WOODLAND DESIGN,2,11/7/2010 16:29,5.95,16549.0,United Kingdom
570049,23502,PLAYING CARDS VINTAGE DOILY ,6,10/7/2011 10:55,1.25,17228.0,United Kingdom
523005,21350,GINGHAM HEART WREATH,2,9/19/2010 16:20,2.95,12748.0,United Kingdom
546426,21324,HANGING MEDINA LANTERN SMALL,2,3/13/2011 13:46,2.95,13708.0,United Kingdom
571682,23372,SET 36 COLOUR PENCILS DOLLY GIRL,2,10/18/2011 14:00,1.25,14179.0,United Kingdom
519920,22151,PLACE SETTING WHITE HEART,36,8/22/2010 14:54,0.42,17389.0,United Kingdom
496872,22090,PAPER BUNTING RETRO SPOTS,2,2/4/2010 13:34,2.95,14648.0,United Kingdom
559542,23084,RABBIT NIGHT LIGHT,3,7/10/2011 13:32,2.08,17126.0,United Kingdom
525299,22738,RIBBON REEL SNOWY VILLAGE,10,10/5/2010 9:38,1.65,18188.0,United Kingdom
514806,85099C,JUMBO  BAG BAROQUE BLACK WHITE,4,7/6/2010 11:21,1.95,16393.0,United Kingdom
557758,21933,PINK VINTAGE PAISLEY PICNIC BAG,2,6/22/2011 13:28,1.65,17585.0,United Kingdom
547019,20996,JAZZ HEARTS ADDRESS BOOK,5,3/18/2011 14:54,0.42,17841.0,United Kingdom
558113,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,6/27/2011 8:48,0.29,14911.0,EIRE
519617,35400,WOODEN BOX ADVENT CALENDAR ,2,8/19/2010 9:10,8.95,14540.0,United Kingdom
530937,48138,DOORMAT UNION FLAG,5,11/4/2010 17:33,7.95,15093.0,United Kingdom
513960,22636,CHILDS BREAKFAST SET CIRCUS PARADE,8,6/29/2010 15:04,7.65,15430.0,United Kingdom
558372,20712,JUMBO BAG WOODLAND ANIMALS,2,6/28/2011 15:47,2.08,16200.0,United Kingdom
511266,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,6/7/2010 12:51,2.95,14534.0,United Kingdom
537140,20685,DOORMAT RED RETROSPOT,1,12/5/2010 12:53,7.95,12748.0,United Kingdom
541816,21385,IVORY HANGING DECORATION  HEART,12,1/21/2011 15:56,0.85,17799.0,United Kingdom
553498,23080,RED METAL BOX TOP SECRET,2,5/17/2011 12:56,8.25,17504.0,United Kingdom
578233,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,4,11/23/2011 12:20,1.45,14049.0,United Kingdom
527486,21284,RETROSPOT CANDLE  SMALL,24,10/18/2010 11:42,0.42,17167.0,United Kingdom
570509,22940,FELTCRAFT CHRISTMAS FAIRY,12,10/11/2011 10:16,4.25,13109.0,United Kingdom
556528,22083,PAPER CHAIN KIT RETROSPOT,6,6/13/2011 11:36,2.95,13269.0,United Kingdom
511051,21164,HOME SWEET HOME METAL SIGN ,2,6/6/2010 12:13,2.95,12911.0,United Kingdom
569887,23130,MISTLETOE HEART WREATH GREEN,4,10/6/2011 15:28,4.15,13882.0,United Kingdom
501544,21520,BOOZE & WOMEN GREETING CARD ,12,3/17/2010 14:55,0.42,18196.0,United Kingdom
556571,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,6/13/2011 13:13,1.65,13018.0,United Kingdom
537694,84378,SET OF 3 HEART COOKIE CUTTERS,2,12/8/2010 10:46,1.25,14901.0,United Kingdom
517627,21580,RABBIT  DESIGN  COTTON TOTE BAG,1,7/30/2010 12:19,2.25,16428.0,United Kingdom
570088,82494L,WOODEN FRAME ANTIQUE WHITE ,1,10/7/2011 11:32,2.95,16764.0,United Kingdom
540168,20963,APPLE BATH SPONGE,3,1/5/2011 12:15,1.25,13715.0,United Kingdom
497473,22078,RIBBON REEL LACE DESIGN ,5,2/9/2010 15:27,2.1,13156.0,United Kingdom
545041,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2/27/2011 10:30,1.25,14952.0,United Kingdom
503783,79323P,PINK CHERRY LIGHTS,24,4/7/2010 12:07,5.45,14156.0,EIRE
531507,22792,FLUTED ANTIQUE CANDLE HOLDER,36,11/8/2010 15:36,0.85,16018.0,United Kingdom
534685,21012,ANTIQUE ALL GLASS CANDLESTICK,6,11/23/2010 15:02,2.1,15864.0,United Kingdom
524218,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,9/28/2010 10:52,2.95,12759.0,Netherlands
507377,21874,GIN AND TONIC MUG,6,5/9/2010 11:35,1.25,13571.0,United Kingdom
507367,20713,JUMBO BAG OWLS,10,5/7/2010 16:46,1.95,16632.0,United Kingdom
500145,20771,CHRYSANTHEMUM  JOURNAL,6,3/4/2010 17:08,2.55,14748.0,United Kingdom
540900,82482,WOODEN PICTURE FRAME WHITE FINISH,12,1/12/2011 11:46,2.55,12712.0,Germany
536061,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,11/30/2010 10:32,1.95,13481.0,United Kingdom
490964,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,1,12/8/2009 16:09,8.5,14646.0,Netherlands
551955,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,36,5/5/2011 12:22,1.25,13199.0,United Kingdom
562542,22717,CARD DOG AND BALL ,12,8/5/2011 15:40,0.42,17377.0,United Kingdom
563550,22779,WOODEN OWLS LIGHT GARLAND ,4,8/17/2011 12:50,4.25,14194.0,United Kingdom
505709,21907,I'M ON HOLIDAY METAL SIGN,1,4/25/2010 12:34,2.1,13050.0,United Kingdom
559686,84378,SET OF 3 HEART COOKIE CUTTERS,1,7/11/2011 15:26,1.25,17966.0,United Kingdom
536036,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,11/29/2010 17:00,3.75,15950.0,United Kingdom
578008,84997D,CHILDRENS CUTLERY POLKADOT PINK,1,11/22/2011 12:47,4.15,14657.0,United Kingdom
494875,20828,GLITTER BUTTERFLY CLIPS,48,1/19/2010 12:31,2.1,17511.0,United Kingdom
566242,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,9/11/2011 11:56,1.65,15502.0,United Kingdom
531738,22431,WATERING CAN BLUE ELEPHANT,1,11/9/2010 12:39,1.95,16960.0,United Kingdom
521200,85169A,IVORY LOVE BIRD CANDLE,12,9/2/2010 17:45,1.25,17675.0,United Kingdom
555835,22767,TRIPLE PHOTO FRAME CORNICE ,2,6/7/2011 12:34,9.95,14525.0,United Kingdom
533790,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,11/18/2010 17:35,1.45,13329.0,United Kingdom
504907,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,6,4/19/2010 8:19,7.65,17850.0,United Kingdom
530067,47594B,SCOTTIES DESIGN WASHBAG,2,11/1/2010 11:53,1.95,16960.0,United Kingdom
519881,21787,RAIN PONCHO WITH RED SPOTS,24,8/22/2010 11:28,0.85,16275.0,United Kingdom
536197,22748,POPPY'S PLAYHOUSE KITCHEN,3,11/30/2010 13:02,2.1,13444.0,United Kingdom
